URL;TITRE;TYPE;AUTEURS;CONTRIBUTEURS;EDITEURS;DATES;DESCRIPTIONS;SUJETS;PROVENANCE;ARK CATALOGUE;DROITS;NOMBRE DE VUES;CODE(S) PROJET(S);NQA Moyen (%);SOURCE
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001624824;[Portrait de Thérèse Bonney . ] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[Entre 1920 et 1940];1920;;Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP,
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001624842;[Thérèse Bonney reçue en Finlande. ] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[Entre 1939 et 1945];1939;;Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, 4C-EPF-006-03246
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001616115;[Exposition internationale des Arts et techniques de 1937. Pavillon de l'Electricité. Laboratoire expérimental. Raoul Dufy et Thérèse Bonney peignant la fresque La Fée Electricité. ] : [photographie];images;Bonney , Thérèse (1894 -1978 );;1937;1937;;Dufy, Raoul (1877-1953) ¤ Bonney , Thérèse (1894 -1978 ) ¤ Exposition internationale. 1937. Paris ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NV-006-00009
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001614007;[Pablo Gargallo] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[Ca 1930];1930;;Gargallo, Pablo (1881-1934) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;domaine public ¤ public domain;;;0.0;© The Bancroft Library, University of California, Berkeley / Thérèse Bonney / BHVP / Roger-Viollet, 4-EPR-00007
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001624450;[Paris. Kiosque à journaux sur les Grands Boulevards. ] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[Entre 1920 et 1940];1920;;Photographie;Bibliothèques spécialisées de la Ville de Paris;;domaine public ¤ public domain;;;0.0;© The Bancroft Library, University of California, Berkeley / Thérèse Bonney / BHVP / Roger-Viollet,
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001613829;Elie Faure : [photographie];images;Bonney , Thérèse (1894 -1978 );;[1931];1931;;Faure, Élie (1873-1937) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;domaine public ¤ public domain;;;0.0;© The Bancroft Library, University of California, Berkeley / Thérèse Bonney / BHVP / Roger-Viollet,
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001624832;[Thérèse Bonney , reporter de guerre. ] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[Entre 1939 et 1945];1939;;Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, 4C-EPF-006-03243
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001624834;[Thérèse Bonney et son appareil photo. ] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[Entre 1939 et 1945];1939;;Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, 4C-EPF-006-03244
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001614258;Le prince d'Annam : [photographie];images;Bonney , Thérèse (1894 -1978 );;1926;1926;"Date attribuée d'après la mention du transparent au recto du tirage : ""Bonney Paris 1926""";Hám, Nghi (1871-1943) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NV-006-01671
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001613835;Erté : [photographie];images;Bonney , Thérèse (1894 -1978 );;1926;1926;"Erté est ici photographié dans son atelier, 124, rue Brancas, Sèvres ¤ Date attribuée d'après la mention du transparent au recto du tirage : ""Bonney Paris 1926""";Erté (1892-1990) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP,
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001624357;[Thérèse Bonney en train de prendre le thé en Finlande. ] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[Entre 1920 et 1940];1920;;Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, 4C-EPF-006-03208
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001624812;[Portrait de Thérèse Bonney peint par Raoul Dufy. ] : [photographie];images;Bonney , Thérèse (1894 -1978 );Dufy, Raoul (1877-1953);[Entre 1920 et 1940];1920;;Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, 4C-EPF-006-03237
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001615005;Marcel Lejeune : [photographie];images;Bonney , Thérèse (1894 -1978 );;1926;1926;"Date attribuée d'après le transparent au recto du tirage : ""Bonney Paris 1926""";Lejeune, Marcel ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NV-006-01720
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001639141;Cardinal Vannutelli : [photographie];images;Bonney , Thérèse (1894 -1978 );;1927;1927;"Date attribuée d'après la mention du transparent au recto du tirage : ""Bonney Paris 1927""";Vannutelli, Vincenzo (1836-1930) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, 4C-EPF-006-01146
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001624362;[Paris. Kiosque à journaux, avenue de l'Opéra] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[1920-1940];1920;;Paris (France) -- Arrondissement (02e) ¤ Paris (France) -- Avenue de l'Opéra ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;domaine public ¤ public domain;;;0.0;© The Bancroft Library, University of California, Berkeley / Thérèse Bonney / BHVP / Roger-Viollet,
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001624846;[Thérèse Bonney casquée. ] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[Entre 1939 et 1945];1939;;Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, 4C-EPF-006-03247
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001613323;Eugène Delâtre : [photographie];images;Bonney , Thérèse (1894 -1978 );;1927;1927;"Eugène Delâtre est ici photographié dans son atelier, 87, rue Lepic, 18e arr. ¤ Date attribuée d'après le transparent sur le recto du tirage : ""Bonney Paris 1927""";Delâtre, Eugène (1864-1938) ¤ Imprimeries -- Machines et matériel ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NV-006-01879
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001624829;[Thérèse Bonney , reporter de guerre. ] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[Entre 1939 et 1945];1939;;Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, 4C-EPF-006-03241
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001635688;[Affiches. Lettre d'Evelyn Wyld adressée à Thérèse Bonney , 1er juin 1928] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[1928];1928;;Wyld, Evelyn ¤ Affiches -- France -- 20e siècle ¤ Art publicitaire -- France -- 20e siècle ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NV-006-04484
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001617813;Paul Poiret : [photographie];images;Bonney , Thérèse (1894 -1978 );;1927;1927;"Paul Poiret est ici photographié dans les salons de sa maison de couture, 1, rond-point des Champs-Elysées, 8e arr. ¤ Date attribuée d'après le transparent au recto du tirage : ""Bonney Paris 1927""";Poiret, Paul (1879-1944) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NN-006-02708
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001702036;Paul Poiret : [photographie];images;Bonney , Thérèse (1894 -1978 );;1927;1927;"Paul Poiret est ici photographié dans les salons de sa maison de couture, 1, Rond-Point des Champs-Elysées, 8e arr. ¤ Date attribuée d'après le transparent au recto du tirage : ""Bonney Paris 1927""";Poiret, Paul (1879-1944) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NN-006-02710
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001613340;Raymonde Delaunois et Firmin Gémier : [photographie];images;Bonney , Thérèse (1894 -1978 );;1926;1926;"Date attribuée d'après le transparent au recto du tirage : ""Bonney Paris 1926""";Delaunois, Raymonde (1885-1984) ¤ Gémier, Firmin (1869-1933) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, 4C-EPF-006-00378
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001624837;[Thérèse Bonney reçue en Finlande. ] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[Entre 1939 et 1945];1939;;Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, 4C-EPF-006-03245
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001624222;Kees Van Dongen et le modèle Blanche Dergon : [photographie];images;Bonney , Thérèse (1894 -1978 );;[1927];1927;"Kees Van Dongen est ici photographié dans son atelier, 5, rue Juliette-Lambert, 17e, en compagnie de Blanche Dergon. ¤ Date attribuée d'après la mention du transparent au recto du tirage : ""Bonney Paris 1927""";Van Dongen, Kees (1877-1968) ¤ Dergon, Blanche ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP,
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001613052;Francis de Croisset : [photographie];images;Bonney , Thérèse (1894 -1978 );;1926;1926;"Francis de Croisset est ici photographié chez lui, 12, boulevard Flandrin, 16e arr. ¤ Date attribuée d'après le transparent sur le recto du tirage : ""Bonney Paris 1926""";Croisset, Francis de (1877-1937) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP,
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001624847;[Thérèse Bonney , reporter de guerre en Finlande. ] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[Entre 1939 et 1945];1939;;Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, 4C-EPF-006-03248
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001490312;French Delegation. [Délégation officielle pour le mariage de Léopold III, avec Astrid de Suède le 10 novembre 1926. Maurice Herbette, ambassadeur de France en Belgique. ] : [photographie];images;Bonney , Thérèse (1894 -1978 );;1926;1926;"Date attribuée d'après la mention du transparent au recto du tirage : ""Bonney Paris 1926""";Herbette, Maurice (1871-1929) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NN-006-01623
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001614133;Auguste Gorguet : [photographie];images;Bonney , Thérèse (1894 -1978 );La Société Panthéon de la Guerre;1927;1927;"Auguste Gorguet est ici photographié dans son atelier, villa ""La Souhaiterie"", 83, rue de la Tombe-Issoire, 14e arr. ¤ Date attribuée d'après le transparent au recto des tirages : ""Bonney Paris 1927""";Gorguet, Auguste François-Marie (1862-1927) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, 4C-EPF-006-00487
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001616620;Claude Monet : [photographie];images;Bonney , Thérèse (1894 -1978 );;1926;1926;"Claude Monet est ici photographié dans l'atelier dans sa maison de Giverny ¤ Date attribuée d'après le transparent au recto du tirage : ""Bonney Paris 1926""";Monet, Claude (1840-1926) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, 4C-EPF-006-00819
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001614156;Maître Suzanne Grinberg : [photographie];images;Bonney , Thérèse (1894 -1978 );;1927;1927;"Date attribuée d'après le transparent au recto du tirage : ""Bonney Paris 1927""";Grinberg, Suzanne ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NV-006-02041
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001618464;Ferdinand Prodhomme [sic] : [photographie];images;Bonney , Thérèse (1894 -1978 );;1926;1926;"Date attribuée d'après le transparent au recto du tirage : ""Bonney Paris 1926""";Prodhomme, Ferdinand ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NV-006-01673
